Run,costO,costS,Strategy,PI,RS
138,0.5,0.5,Concealers,6391.74,6.88
138,0.5,0.5,Revealers,4912.08,6.18
139,0.5,0.5,Concealers,6960.52,7.04
139,0.5,0.5,Revealers,4629.54,5.94
140,0.5,0.5,Concealers,7182.78,7.24
140,0.5,0.5,Revealers,5136.08,6.3
141,0.5,1,Concealers,6957.28,7.04
141,0.5,1,Revealers,4125.6,5.74
142,0.5,1,Concealers,6933.54,7.16
142,0.5,1,Revealers,5317.96,6.4
143,0.5,1,Concealers,8576.8,8.04
143,0.5,1,Revealers,6177.46,6.84
144,0.5,1,Concealers,8038.48,7.74
144,0.5,1,Revealers,5856.9,6.8
145,0.5,1,Concealers,7245.4,7.06
145,0.5,1,Revealers,4145.16,5.76
146,0.5,1,Concealers,7932.46,7.58
146,0.5,1,Revealers,5331.28,6.4
147,0.5,1,Concealers,9153.26,8.24
147,0.5,1,Revealers,6098.52,6.78
148,0.5,1,Concealers,5833.42,6.3
148,0.5,1,Revealers,4158.46,5.66
149,0.5,1,Concealers,7941.56,7.62
149,0.5,1,Revealers,7107.5,7.26
150,0.5,1,Concealers,7467.62,7.44
150,0.5,1,Revealers,6333.96,6.98
151,0.5,1,Concealers,8337.68,7.84
151,0.5,1,Revealers,7012.24,7.2
152,0.5,1,Concealers,7000.56,7.08
152,0.5,1,Revealers,5389.34,6.3
153,0.5,1,Concealers,6439.62,6.76
153,0.5,1,Revealers,5041.1,6.2
154,0.5,1,Concealers,7958.16,7.56
154,0.5,1,Revealers,4656.76,6
155,0.5,1,Concealers,7929.48,7.48
155,0.5,1,Revealers,5348.9,6.48
156,0.5,1,Concealers,7637.58,7.48
156,0.5,1,Revealers,5440.88,6.5
157,0.5,1,Concealers,7684.84,7.42
157,0.5,1,Revealers,4578.2,5.98
158,0.5,1,Concealers,7575.68,7.42
158,0.5,1,Revealers,4940.6,6.12
159,0.5,1,Concealers,7621.58,7.46
159,0.5,1,Revealers,6084.14,6.8
160,0.5,1,Concealers,7617.4,7.58
