Experiment,Run,Decrement,Strategy,PI,RS
2,264,TRUE,Concealers,7564.2,7.46
2,264,TRUE,Revealers,7536.9,7.48
2,265,TRUE,Concealers,6997.88,7.24
2,265,TRUE,Revealers,6981.64,7.24
2,266,TRUE,Concealers,7014.22,7.2
2,266,TRUE,Revealers,6598.08,7.06
2,267,TRUE,Concealers,6979.82,7.12
2,267,TRUE,Revealers,7833.72,7.68
2,268,TRUE,Concealers,7188.36,7.32
2,268,TRUE,Revealers,7614.28,7.46
2,269,TRUE,Concealers,7096.4,7.26
2,269,TRUE,Revealers,7192.38,7.3
2,270,TRUE,Concealers,7234.78,7.32
2,270,TRUE,Revealers,7027.64,7.26
2,271,TRUE,Concealers,7136.76,7.3
2,271,TRUE,Revealers,6402.78,6.96
2,272,TRUE,Concealers,6909.66,7.22
2,272,TRUE,Revealers,7696.9,7.52
2,273,TRUE,Concealers,7144.02,7.32
2,273,TRUE,Revealers,8303.98,7.86
2,274,TRUE,Concealers,7127.98,7.38
2,274,TRUE,Revealers,6979.56,7.18
2,275,TRUE,Concealers,7323.52,7.36
2,275,TRUE,Revealers,7967.06,7.56
2,276,TRUE,Concealers,8019.24,7.62
2,276,TRUE,Revealers,7193.7,7.24
2,277,TRUE,Concealers,7875.76,7.54
2,277,TRUE,Revealers,6978.24,7.22
2,278,TRUE,Concealers,8507,7.88
2,278,TRUE,Revealers,7062.28,7.18
2,279,TRUE,Concealers,7341.02,7.4
2,279,TRUE,Revealers,6654.42,7.12
2,280,TRUE,Concealers,7678.36,7.64
2,280,TRUE,Revealers,6952.1,7.28
2,281,TRUE,Concealers,7745.72,7.6
2,281,TRUE,Revealers,6647.68,7.04
2,282,TRUE,Concealers,7171.3,7.4
2,282,TRUE,Revealers,7689.52,7.62
2,283,TRUE,Concealers,7485.36,7.56
2,283,TRUE,Revealers,7067.76,7.3
2,284,TRUE,Concealers,7291.94,7.26
2,284,TRUE,Revealers,7666.42,7.56
2,285,TRUE,Concealers,7047.52,7.34
2,285,TRUE,Revealers,8041.06,7.74
2,286,TRUE,Concealers,7374.98,7.36
2,286,TRUE,Revealers,7638.64,7.38
2,287,TRUE,Concealers,7358.42,7.36
2,287,TRUE,Revealers,6655.72,7.12
2,288,TRUE,Concealers,7558.28,7.5
2,288,TRUE,Revealers,7327.76,7.36
2,289,TRUE,Concealers,6958.86,7.28
2,289,TRUE,Revealers,7162.46,7.32
2,290,TRUE,Concealers,7020,7.26
2,290,TRUE,Revealers,6672.12,6.96
2,291,TRUE,Concealers,8101.9,7.8
2,291,TRUE,Revealers,8177.52,7.72
2,292,TRUE,Concealers,7887.76,7.64
2,292,TRUE,Revealers,6974.78,7.2
2,293,TRUE,Concealers,6978.06,7.24
2,293,TRUE,Revealers,6818.6,7.08
2,294,TRUE,Concealers,7458.24,7.46
2,294,TRUE,Revealers,6979,7.18
2,295,TRUE,Concealers,7836.66,7.58
2,295,TRUE,Revealers,7084.88,7.3
2,296,TRUE,Concealers,8139.8,7.62
2,296,TRUE,Revealers,7547.22,7.52
2,297,TRUE,Concealers,6695.92,7.06
2,297,TRUE,Revealers,7961.56,7.68
2,298,TRUE,Concealers,7205,7.3
2,298,TRUE,Revealers,7290.3,7.3
2,299,TRUE,Concealers,7483.16,7.46
2,299,TRUE,Revealers,6532.32,7
2,300,TRUE,Concealers,6900.78,7.24
2,300,TRUE,Revealers,7516.2,7.48
2,301,FALSE,Concealers,7718.28,7.52
2,301,FALSE,Revealers,7294.9,7.42
2,302,FALSE,Concealers,7085.16,7.28
2,302,FALSE,Revealers,7699.24,7.64
2,303,FALSE,Concealers,6959.42,7.26
2,303,FALSE,Revealers,7160.12,7.3
2,304,FALSE,Concealers,7290.94,7.38
