Experiment,Run,Decrement,Strategy,PI,RS
1,108,TRUE,Concealers,7475.24,7.44
1,108,TRUE,Revealers,5904.14,6.66
1,109,TRUE,Concealers,6360.28,6.88
1,109,TRUE,Revealers,6774.08,7.16
1,110,TRUE,Concealers,6272.96,6.8
1,110,TRUE,Revealers,5421.58,6.36
1,111,TRUE,Concealers,6922.28,7.12
1,111,TRUE,Revealers,6349.96,6.86
1,112,TRUE,Concealers,5314,6.3
1,112,TRUE,Revealers,6824.78,7.1
1,113,TRUE,Concealers,7803.22,7.66
1,113,TRUE,Revealers,6415.46,6.94
1,114,TRUE,Concealers,6613.08,7
1,114,TRUE,Revealers,6416.68,6.92
1,115,TRUE,Concealers,7301.82,7.28
1,115,TRUE,Revealers,5889.64,6.64
1,116,TRUE,Concealers,7231.58,7.2
1,116,TRUE,Revealers,6671.08,6.96
1,117,TRUE,Concealers,7181.74,7.3
1,117,TRUE,Revealers,7487.16,7.38
1,118,TRUE,Concealers,6866.66,7.24
1,118,TRUE,Revealers,5525.72,6.5
1,119,TRUE,Concealers,5297.9,6.26
1,119,TRUE,Revealers,6257.98,6.74
1,120,TRUE,Concealers,6304.32,6.76
1,120,TRUE,Revealers,4386.1,5.86
1,121,TRUE,Concealers,4047.24,5.74
1,121,TRUE,Revealers,6089.86,6.58
1,122,TRUE,Concealers,7431.46,7.32
1,122,TRUE,Revealers,6656.72,7.04
1,123,TRUE,Concealers,6967.78,7.04
1,123,TRUE,Revealers,5113.74,6.26
1,124,TRUE,Concealers,5997.72,6.7
1,124,TRUE,Revealers,7414.82,7.26
1,125,TRUE,Concealers,7310.42,7.34
1,125,TRUE,Revealers,5389.32,6.44
1,126,TRUE,Concealers,5382.7,6.36
1,126,TRUE,Revealers,7099.38,7.16
1,127,TRUE,Concealers,6761.86,6.88
1,127,TRUE,Revealers,4410.24,5.94
1,128,TRUE,Concealers,6771.04,7.04
1,128,TRUE,Revealers,5459.84,6.4
1,129,TRUE,Concealers,6332,6.82
1,129,TRUE,Revealers,6684.02,7.04
1,130,TRUE,Concealers,6190.16,6.64
1,130,TRUE,Revealers,4236.5,5.72
1,131,TRUE,Concealers,6798.3,7.06
1,131,TRUE,Revealers,6193.68,6.74
1,132,TRUE,Concealers,7207.46,7.2
1,132,TRUE,Revealers,5852.72,6.66
1,133,TRUE,Concealers,5707.36,6.5
1,133,TRUE,Revealers,6363.84,6.72
1,134,TRUE,Concealers,7616.44,7.44
1,134,TRUE,Revealers,5291.9,6.42
1,135,TRUE,Concealers,5114.66,6.32
1,135,TRUE,Revealers,6310.4,6.66
1,136,TRUE,Concealers,6815.64,6.98
1,136,TRUE,Revealers,4436.58,6
1,137,TRUE,Concealers,6804.54,7.14
1,137,TRUE,Revealers,6031.64,6.72
1,138,TRUE,Concealers,7468.02,7.34
1,138,TRUE,Revealers,5642.04,6.5
1,139,TRUE,Concealers,6240.18,6.52
1,139,TRUE,Revealers,4300.86,5.82
