"Run","competitor_radius","search_radius","Strategy","PI","RS"
228,2,4,"Revealers",6728.96,6.74
229,2,4,"Concealers",7483.38,7.42
229,2,4,"Revealers",6237.86,6.5
230,2,4,"Concealers",7499.88,7.26
230,2,4,"Revealers",5859.52,6.56
231,2,4,"Concealers",7415.86,7.2
231,2,4,"Revealers",6010.4,6.48
232,2,4,"Concealers",8629.82,7.62
232,2,4,"Revealers",5959.2,6.6
233,2,4,"Concealers",5861.24,6.06
233,2,4,"Revealers",3930.58,5.54
234,2,4,"Concealers",5360.54,5.84
234,2,4,"Revealers",3571.8,5.18
235,2,4,"Concealers",8895.78,7.86
235,2,4,"Revealers",5683.34,6.44
236,2,4,"Concealers",5760.94,5.86
236,2,4,"Revealers",2872.04,4.86
237,2,4,"Concealers",7501.66,7.24
237,2,4,"Revealers",6100.92,6.58
238,2,4,"Concealers",8911.56,7.84
238,2,4,"Revealers",6397.7,6.92
239,2,4,"Concealers",7520.78,7.38
239,2,4,"Revealers",6316.56,6.68
240,2,4,"Concealers",6743.62,6.58
240,2,4,"Revealers",4450.78,5.72
241,2,4,"Concealers",5758.62,5.86
241,2,4,"Revealers",3194.64,4.94
242,2,4,"Concealers",7785.42,7.38
242,2,4,"Revealers",5901.54,6.48
243,2,4,"Concealers",7194.14,7.2
243,2,4,"Revealers",6389.02,6.7
244,2,4,"Concealers",5329.36,5.74
244,2,4,"Revealers",3425.56,5.2
245,2,4,"Concealers",4850.92,5.7
245,2,4,"Revealers",4218.56,5.56
246,2,4,"Concealers",6639.32,6.6
246,2,4,"Revealers",3869.46,5.48
247,2,4,"Concealers",7770.2,7.1
247,2,4,"Revealers",5082.3,6.28
248,2,4,"Concealers",7467.4,7.14
248,2,4,"Revealers",5687.82,6.48
249,2,4,"Concealers",7010.56,6.94
249,2,4,"Revealers",5106.76,6.02
250,2,4,"Concealers",8039.74,7.26
250,2,4,"Revealers",5043.72,6.18
251,2,4,"Concealers",5985.9,6.38
251,2,4,"Revealers",4238.3,5.52
252,2,4,"Concealers",6858.34,6.64
252,2,4,"Revealers",3829.48,5.54
253,2,4,"Concealers",5319.5,5.66
253,2,4,"Revealers",3438.4,4.84
254,2,4,"Concealers",7069.24,7.12
254,2,4,"Revealers",7889.02,7.36
255,2,4,"Concealers",8349.66,7.44
255,2,4,"Revealers",5802.4,6.54
256,2,4,"Concealers",7452.16,7.28
256,2,4,"Revealers",6318.02,6.72
257,2,4,"Concealers",6952.34,7.12
257,2,4,"Revealers",6006.58,6.4
258,2,4,"Concealers",5239.74,5.8
258,2,4,"Revealers",4241.96,5.46
259,2,4,"Concealers",7659.48,7.36
259,2,4,"Revealers",6825.08,7.02
260,2,4,"Concealers",5228.4,5.6
260,2,4,"Revealers",2769.56,4.86
261,2,4,"Concealers",5258.9,5.88
261,2,4,"Revealers",3994.72,5.36
262,2,4,"Concealers",6421.32,6.76
262,2,4,"Revealers",5216.46,6.04
263,2,4,"Concealers",5934.76,6.24
263,2,4,"Revealers",3730.66,5.42
264,2,4,"Concealers",7003.98,6.62
264,2,4,"Revealers",4389.76,5.76
265,2,4,"Concealers",7173.96,7.14
265,2,4,"Revealers",6555.68,6.7
266,2,4,"Concealers",7163.38,7.12
266,2,4,"Revealers",5324.98,6.36
267,2,4,"Concealers",8128.9,7.54
267,2,4,"Revealers",5890.64,6.56
268,2,4,"Concealers",7108.1,6.92
268,2,4,"Revealers",5941.3,6.3
269,2,4,"Concealers",7215.5,7.24
269,2,4,"Revealers",7535.04,7.3
270,2,4,"Concealers",6966.92,6.68
270,2,4,"Revealers",4415,5.72
271,2,4,"Concealers",7001.34,6.86
271,2,4,"Revealers",6206.22,6.56
272,2,4,"Concealers",6528.58,6.36
272,2,4,"Revealers",3475.56,5.2
273,2,4,"Concealers",6134.48,6.54
273,2,4,"Revealers",4222.86,5.5
274,2,4,"Concealers",6852.86,6.54
274,2,4,"Revealers",3407.34,5.16
