"Run","costO","costS","Strategy","PI","RS"
117,0,0.5,"Concealers",7186.16,7.24
117,0,0.5,"Revealers",6965.2,7.2
118,0,0.5,"Concealers",7477.1,7.46
118,0,0.5,"Revealers",6293.04,6.88
119,0,0.5,"Concealers",6743.04,7.02
119,0,0.5,"Revealers",5947.44,6.7
120,0,0.5,"Concealers",6401.46,6.74
120,0,0.5,"Revealers",4839.56,6.16
121,0,0.5,"Concealers",4445.58,5.92
121,0,0.5,"Revealers",5612.16,6.32
122,0,0.5,"Concealers",7041.66,7.18
122,0,0.5,"Revealers",6018.84,6.68
123,0,0.5,"Concealers",4170.52,5.74
123,0,0.5,"Revealers",6577.38,6.78
124,0,0.5,"Concealers",4058,5.78
124,0,0.5,"Revealers",6011.92,6.46
125,0,0.5,"Concealers",4292.96,5.84
125,0,0.5,"Revealers",6968.04,7.12
126,0,0.5,"Concealers",6688.32,6.88
126,0,0.5,"Revealers",5251.54,6.32
127,0,0.5,"Concealers",7698.66,7.56
127,0,0.5,"Revealers",6599.3,6.94
128,0,0.5,"Concealers",8065.56,7.68
128,0,0.5,"Revealers",6756.9,7.16
129,0,0.5,"Concealers",6242.44,6.78
129,0,0.5,"Revealers",5327.96,6.28
130,0,0.5,"Concealers",7373.34,7.22
130,0,0.5,"Revealers",4523.54,6
131,0,0.5,"Concealers",5302.66,6.3
131,0,0.5,"Revealers",6441.64,6.86
132,0,0.5,"Concealers",6350.18,6.76
132,0,0.5,"Revealers",6521.7,6.84
133,0,0.5,"Concealers",5325.68,6.42
133,0,0.5,"Revealers",7409.88,7.18
134,0,0.5,"Concealers",7590.26,7.46
134,0,0.5,"Revealers",6168.16,6.78
135,0,0.5,"Concealers",4767.24,6.06
135,0,0.5,"Revealers",7010.38,7.08
136,0,0.5,"Concealers",4292.6,5.78
136,0,0.5,"Revealers",6471.24,6.74
137,0,0.5,"Concealers",6273.98,6.8
137,0,0.5,"Revealers",6742.36,7.18
138,0,0.5,"Concealers",3798.52,5.58
138,0,0.5,"Revealers",5565.3,6.08
139,0,0.5,"Concealers",5126.66,6.18
139,0,0.5,"Revealers",5704.78,6.4
140,0,0.5,"Concealers",6075.34,6.66
140,0,0.5,"Revealers",4658.6,6.1
141,0,0.5,"Concealers",6832.7,7.06
141,0,0.5,"Revealers",6522.48,6.9
142,0,0.5,"Concealers",5872.32,6.66
142,0,0.5,"Revealers",5979.76,6.6
143,0,0.5,"Concealers",5926.58,6.7
143,0,0.5,"Revealers",4419.52,5.94
144,0,0.5,"Concealers",6552.2,6.78
144,0,0.5,"Revealers",5229.28,6.26
145,0,0.5,"Concealers",5055.6,6.22
145,0,0.5,"Revealers",6302.86,6.74
146,0,0.5,"Concealers",6645.3,6.86
146,0,0.5,"Revealers",4907.1,6.14
147,0,0.5,"Concealers",6700.14,7.06
147,0,0.5,"Revealers",6045.14,6.76
148,0,0.5,"Concealers",5160.58,6.22
148,0,0.5,"Revealers",5916.12,6.48
149,0,0.5,"Concealers",6791.14,6.94
149,0,0.5,"Revealers",4668.54,6.02
150,0,0.5,"Concealers",5464.7,6.16
150,0,0.5,"Revealers",3974.4,5.7
151,0,0.5,"Concealers",5258.72,6.18
151,0,0.5,"Revealers",4938.92,6.08
152,0,0.5,"Concealers",4214.2,5.84
152,0,0.5,"Revealers",6650.42,6.88
153,0,0.5,"Concealers",6544.66,6.86
153,0,0.5,"Revealers",5630.42,6.54
154,0,0.5,"Concealers",4795.92,6.06
154,0,0.5,"Revealers",7002.38,7.14
155,0,0.5,"Concealers",6246.62,6.88
155,0,0.5,"Revealers",7257.86,7.36
156,0,0.5,"Concealers",6960.82,7.14
156,0,0.5,"Revealers",5964.6,6.82
157,0,0.5,"Concealers",7401.1,7.32
157,0,0.5,"Revealers",5831.54,6.64
158,0,0.5,"Concealers",7395.34,7.26
158,0,0.5,"Revealers",5856.36,6.58
159,0,0.5,"Concealers",4167.12,5.88
159,0,0.5,"Revealers",6449.7,6.76
160,0,0.5,"Concealers",7874.54,7.62
160,0,0.5,"Revealers",6651.86,7.08
161,0,0.5,"Concealers",6259.6,6.8
161,0,0.5,"Revealers",5946.18,6.68
162,0,0.5,"Concealers",5289.98,6.38
162,0,0.5,"Revealers",6146.68,6.6
163,0,0.5,"Concealers",6281.6,6.76
163,0,0.5,"Revealers",4925.66,6.1
164,0,0.5,"Concealers",5187.68,6.3
164,0,0.5,"Revealers",7056.22,7.08
165,0,0.5,"Concealers",6359.8,6.8
165,0,0.5,"Revealers",6627.84,6.94
166,0,0.5,"Concealers",7346.64,7.2
166,0,0.5,"Revealers",5792.7,6.6
167,0,0.5,"Concealers",6565.54,7.08
167,0,0.5,"Revealers",5904.46,6.6
168,0,0.5,"Concealers",7203.04,7.18
168,0,0.5,"Revealers",7081.32,7.22
169,0,0.5,"Concealers",7833.46,7.58
169,0,0.5,"Revealers",5711.34,6.48
170,0,0.5,"Concealers",5955.52,6.52
170,0,0.5,"Revealers",5088.94,6.3
171,0,0.5,"Concealers",5713.96,6.54
171,0,0.5,"Revealers",4490.06,6
172,0,0.5,"Concealers",6770.08,7.14
172,0,0.5,"Revealers",7463.5,7.42
173,0,0.5,"Concealers",6377.56,6.84
173,0,0.5,"Revealers",5549.72,6.42
174,0,0.5,"Concealers",4867.06,6.08
174,0,0.5,"Revealers",6480.24,6.96
175,0,0.5,"Concealers",3948,5.72
175,0,0.5,"Revealers",6306.46,6.7
176,0,0.5,"Concealers",6940.58,7.16
176,0,0.5,"Revealers",7480.02,7.42
177,0,0.5,"Concealers",6416.72,6.78
177,0,0.5,"Revealers",6850.54,7.16
178,0,0.5,"Concealers",4825.22,6.12
178,0,0.5,"Revealers",7584.9,7.44
179,0,0.5,"Concealers",6713.14,6.96
179,0,0.5,"Revealers",7460.54,7.32
180,0,0.5,"Concealers",5820.82,6.3
180,0,0.5,"Revealers",4421.92,5.84
181,0,0.5,"Concealers",6895.76,7.1
181,0,0.5,"Revealers",4639.2,5.94
182,0,0.5,"Concealers",5357.36,6.22
182,0,0.5,"Revealers",6240.78,6.82
183,0,0.5,"Concealers",7211.9,7.32
183,0,0.5,"Revealers",6582.58,6.96
184,0,0.5,"Concealers",4009.54,5.64
184,0,0.5,"Revealers",5086.44,5.8
185,0,0.5,"Concealers",6792.86,7.1
185,0,0.5,"Revealers",6794.58,7.1
186,0,0.5,"Concealers",5727.56,6.42
186,0,0.5,"Revealers",4787.98,6.1
187,0,0.5,"Concealers",6806.68,6.98
187,0,0.5,"Revealers",5216.68,6.28
188,0,0.5,"Concealers",5514.78,6.52
188,0,0.5,"Revealers",7499.12,7.24
189,0,0.5,"Concealers",6278.34,6.76
189,0,0.5,"Revealers",7404.16,7.36
190,0,0.5,"Concealers",7015.52,7.1
190,0,0.5,"Revealers",4706.7,6.14
191,0,0.5,"Concealers",6746.72,6.96
191,0,0.5,"Revealers",5327.04,6.34
192,0,0.5,"Concealers",6551.94,6.86
192,0,0.5,"Revealers",5578.5,6.42
193,0,0.5,"Concealers",6501.08,6.82
193,0,0.5,"Revealers",5412.24,6.38
194,0,0.5,"Concealers",5267.22,6.34
194,0,0.5,"Revealers",7242.9,7.24
195,0,0.5,"Concealers",6414.48,6.88
195,0,0.5,"Revealers",6616.32,6.84
196,0,0.5,"Concealers",5587.62,6.38
196,0,0.5,"Revealers",7290.76,7.18
197,0,0.5,"Concealers",8296.98,7.9
197,0,0.5,"Revealers",6129.16,6.66
198,0,0.5,"Concealers",6588.84,6.94
198,0,0.5,"Revealers",5820.02,6.5
199,0,0.5,"Concealers",4983.26,6.26
199,0,0.5,"Revealers",6239.32,6.84
200,0,0.5,"Concealers",5575.5,6.36
200,0,0.5,"Revealers",5755.56,6.64
201,0,1,"Concealers",6234.9,6.78
201,0,1,"Revealers",6117.62,6.7
202,0,1,"Concealers",5298.86,6.24
202,0,1,"Revealers",4883.92,6
203,0,1,"Concealers",4836.92,6.1
203,0,1,"Revealers",6182.66,6.62
204,0,1,"Concealers",6594.36,6.96
204,0,1,"Revealers",7119.82,7.18
205,0,1,"Concealers",5173.42,6.22
205,0,1,"Revealers",5767.54,6.5
206,0,1,"Concealers",5276.4,6.4
206,0,1,"Revealers",7846.64,7.56
207,0,1,"Concealers",4805.96,6.06
207,0,1,"Revealers",6775.72,6.92
208,0,1,"Concealers",6615.88,7.02
208,0,1,"Revealers",7430.98,7.4
209,0,1,"Concealers",5990.36,6.5
209,0,1,"Revealers",4179.54,5.68
210,0,1,"Concealers",7109.76,7.14
210,0,1,"Revealers",4532.48,6.04
211,0,1,"Concealers",5770.42,6.34
211,0,1,"Revealers",4441.7,5.9
212,0,1,"Concealers",7124.36,7.28
212,0,1,"Revealers",7081.12,7.28
213,0,1,"Concealers",7110.36,7.3
213,0,1,"Revealers",6959.28,7.1
214,0,1,"Concealers",5615.12,6.54
214,0,1,"Revealers",7248.64,7.3
215,0,1,"Concealers",5801.26,6.64
215,0,1,"Revealers",5583.04,6.52
216,0,1,"Concealers",4927.26,6.02
216,0,1,"Revealers",5918.98,6.5
217,0,1,"Concealers",6475.64,7.02
217,0,1,"Revealers",8788.08,7.92
218,0,1,"Concealers",6633,7.04
218,0,1,"Revealers",6418.28,6.9
219,0,1,"Concealers",5228.4,6.24
219,0,1,"Revealers",7150.86,7.24
220,0,1,"Concealers",7340.2,7.36
220,0,1,"Revealers",7065.16,7.2
221,0,1,"Concealers",4762.28,5.98
221,0,1,"Revealers",6749.48,6.94
222,0,1,"Concealers",7727.66,7.56
222,0,1,"Revealers",5841.68,6.64
223,0,1,"Concealers",7399.68,7.4
223,0,1,"Revealers",7463.54,7.44
224,0,1,"Concealers",4821.76,6.18
224,0,1,"Revealers",6842.42,6.94
225,0,1,"Concealers",5043.12,6.28
225,0,1,"Revealers",7617.48,7.4
226,0,1,"Concealers",5598.98,6.48
226,0,1,"Revealers",8097.18,7.64
227,0,1,"Concealers",5692.8,6.48
227,0,1,"Revealers",6605.22,6.92
228,0,1,"Concealers",6614.28,6.88
228,0,1,"Revealers",4158.96,5.78
229,0,1,"Concealers",3968.82,5.6
229,0,1,"Revealers",7294.52,7.26
230,0,1,"Concealers",6492.3,6.78
230,0,1,"Revealers",6111.42,6.78
231,0,1,"Concealers",7208.82,7.32
231,0,1,"Revealers",6175.56,6.78
232,0,1,"Concealers",7357.52,7.48
232,0,1,"Revealers",6321.74,6.8
233,0,1,"Concealers",5805.38,6.48
233,0,1,"Revealers",5183.92,6.34
234,0,1,"Concealers",4750.08,6.06
234,0,1,"Revealers",6641.94,6.74
235,0,1,"Concealers",5659.26,6.32
235,0,1,"Revealers",5532.78,6.56
236,0,1,"Concealers",5658.14,6.6
236,0,1,"Revealers",6558.28,7
237,0,1,"Concealers",5009.96,6.3
237,0,1,"Revealers",6497.26,6.84
238,0,1,"Concealers",4595.8,5.98
238,0,1,"Revealers",6660.5,6.82
239,0,1,"Concealers",6150.76,6.68
239,0,1,"Revealers",4985.74,6.24
240,0,1,"Concealers",6833.86,6.96
240,0,1,"Revealers",5087.04,6.3
241,0,1,"Concealers",6894.5,7.1
241,0,1,"Revealers",5653.94,6.48
242,0,1,"Concealers",7307.64,7.3
242,0,1,"Revealers",6585.76,6.92
243,0,1,"Concealers",7269.9,7.32
243,0,1,"Revealers",6779.82,7.08
244,0,1,"Concealers",5976.7,6.64
244,0,1,"Revealers",4850.86,6.08
245,0,1,"Concealers",6711.22,6.8
245,0,1,"Revealers",4748.98,6.06
246,0,1,"Concealers",4312.8,5.76
246,0,1,"Revealers",5670.84,6.42
247,0,1,"Concealers",6334.1,6.8
247,0,1,"Revealers",7109.9,7.18
248,0,1,"Concealers",2457.66,4.84
248,0,1,"Revealers",4404.14,5.44
249,0,1,"Concealers",5890.12,6.78
249,0,1,"Revealers",7494.36,7.34
250,0,1,"Concealers",6632.82,7.02
250,0,1,"Revealers",5333.2,6.34
251,0,1,"Concealers",6030.88,6.72
251,0,1,"Revealers",6805.22,7.06
252,0,1,"Concealers",6714.48,6.96
252,0,1,"Revealers",6279.54,6.82
253,0,1,"Concealers",6349.1,6.7
253,0,1,"Revealers",5168.62,6.28
254,0,1,"Concealers",8189.74,7.72
254,0,1,"Revealers",6561.44,6.98
255,0,1,"Concealers",5010.98,6.18
255,0,1,"Revealers",5650.38,6.36
256,0,1,"Concealers",6797.06,7.06
256,0,1,"Revealers",5294.62,6.32
257,0,1,"Concealers",5674.98,6.42
257,0,1,"Revealers",5525.82,6.5
258,0,1,"Concealers",5034.28,6.26
258,0,1,"Revealers",7412.68,7.18
259,0,1,"Concealers",6609.46,7.02
259,0,1,"Revealers",7461.58,7.46
260,0,1,"Concealers",6205.98,6.76
260,0,1,"Revealers",7124.22,7.2
261,0,1,"Concealers",6432.72,6.74
261,0,1,"Revealers",4288.14,5.86
262,0,1,"Concealers",6653.22,7.08
262,0,1,"Revealers",6400.22,6.98
263,0,1,"Concealers",4442.72,5.78
263,0,1,"Revealers",6630.78,6.88
264,0,1,"Concealers",6701.1,6.94
264,0,1,"Revealers",4761.32,6.1
265,0,1,"Concealers",7107.3,7.12
265,0,1,"Revealers",5689.9,6.48
266,0,1,"Concealers",7178.04,7.3
266,0,1,"Revealers",8142.2,7.76
267,0,1,"Concealers",7121.02,7.24
267,0,1,"Revealers",6381.98,6.96
268,0,1,"Concealers",5468.5,6.44
268,0,1,"Revealers",5551.06,6.44
269,0,1,"Concealers",7041.76,7.26
269,0,1,"Revealers",7038.1,7.2
270,0,1,"Concealers",5888.96,6.7
270,0,1,"Revealers",5608.92,6.58
271,0,1,"Concealers",5268.28,6.36
271,0,1,"Revealers",7163.3,7.1
272,0,1,"Concealers",6666.16,7
272,0,1,"Revealers",5142.5,6.34
273,0,1,"Concealers",5210.1,6.28
273,0,1,"Revealers",5341.34,6.32
274,0,1,"Concealers",5797.54,6.56
274,0,1,"Revealers",4505.98,6
275,0,1,"Concealers",5277.46,6.34
275,0,1,"Revealers",5844.72,6.46
276,0,1,"Concealers",6667.62,7.1
276,0,1,"Revealers",5622.2,6.46
277,0,1,"Concealers",8383.34,7.9
277,0,1,"Revealers",6187.9,6.82
278,0,1,"Concealers",7440.54,7.3
278,0,1,"Revealers",7559.18,7.5
279,0,1,"Concealers",6277.32,6.76
279,0,1,"Revealers",6221.02,6.72
280,0,1,"Concealers",6575.4,6.94
280,0,1,"Revealers",5360.66,6.46
281,0,1,"Concealers",6575.82,6.78
281,0,1,"Revealers",5291.06,6.24
282,0,1,"Concealers",5748.2,6.56
282,0,1,"Revealers",7467.5,7.32
283,0,1,"Concealers",7028.22,7.24
283,0,1,"Revealers",6592.44,7.02
284,0,1,"Concealers",5653.4,6.46
284,0,1,"Revealers",5202.74,6.22
285,0,1,"Concealers",7265.36,7.3
285,0,1,"Revealers",5944.48,6.7
286,0,1,"Concealers",4759.76,6.04
286,0,1,"Revealers",5947.8,6.6
287,0,1,"Concealers",6284.34,6.68
287,0,1,"Revealers",5487.78,6.48
288,0,1,"Concealers",6514.5,6.94
288,0,1,"Revealers",6420.26,6.94
289,0,1,"Concealers",6393.52,6.82
289,0,1,"Revealers",5256.5,6.42
290,0,1,"Concealers",5541.24,6.5
290,0,1,"Revealers",5797.92,6.46
291,0,1,"Concealers",5432.4,6.36
291,0,1,"Revealers",7212.4,7.2
292,0,1,"Concealers",6554.42,6.9
292,0,1,"Revealers",5677.06,6.48
293,0,1,"Concealers",5319.28,6.28
293,0,1,"Revealers",6803.76,6.92
294,0,1,"Concealers",5950.9,6.8
294,0,1,"Revealers",7474.3,7.42
295,0,1,"Concealers",6656.48,6.86
295,0,1,"Revealers",5426.84,6.38
296,0,1,"Concealers",3373.84,5.44
296,0,1,"Revealers",5426.18,6.06
297,0,1,"Concealers",3612.76,5.5
297,0,1,"Revealers",6521.28,6.64
298,0,1,"Concealers",7340.4,7.18
298,0,1,"Revealers",5799.78,6.54
299,0,1,"Concealers",5689.5,6.28
299,0,1,"Revealers",5113.34,6.22
300,0,1,"Concealers",5703.74,6.5
300,0,1,"Revealers",7086.2,7.22
301,0,1.5,"Concealers",6667.7,7.14
301,0,1.5,"Revealers",6978.3,7.26
302,0,1.5,"Concealers",7604.94,7.66
302,0,1.5,"Revealers",7514.54,7.56
303,0,1.5,"Concealers",7794.9,7.68
303,0,1.5,"Revealers",8087.64,7.76
304,0,1.5,"Concealers",8160.52,7.84
304,0,1.5,"Revealers",8149.3,7.82
305,0,1.5,"Concealers",6649.02,7.22
305,0,1.5,"Revealers",6487.16,7.26
306,0,1.5,"Concealers",7937.74,7.8
306,0,1.5,"Revealers",7711.08,7.66
307,0,1.5,"Concealers",7289.08,7.46
307,0,1.5,"Revealers",7900.2,7.74
308,0,1.5,"Concealers",7787,7.84
308,0,1.5,"Revealers",7315.16,7.48
309,0,1.5,"Concealers",7503.86,7.56
309,0,1.5,"Revealers",7589.9,7.62
310,0,1.5,"Concealers",8480.02,7.96
310,0,1.5,"Revealers",7933.64,7.64
311,0,1.5,"Concealers",7457.9,7.62
311,0,1.5,"Revealers",7632.82,7.7
312,0,1.5,"Concealers",7519,7.5
312,0,1.5,"Revealers",7017.42,7.34
313,0,1.5,"Concealers",7389.06,7.54
313,0,1.5,"Revealers",7356.58,7.56
314,0,1.5,"Concealers",6835.82,7.16
314,0,1.5,"Revealers",7178.44,7.4
315,0,1.5,"Concealers",8153.5,7.82
315,0,1.5,"Revealers",7939.3,7.76
316,0,1.5,"Concealers",7623.66,7.78
316,0,1.5,"Revealers",6990.96,7.3
317,0,1.5,"Concealers",7569.1,7.54
317,0,1.5,"Revealers",7967.04,7.72
318,0,1.5,"Concealers",7252.44,7.4
318,0,1.5,"Revealers",7681.98,7.62
319,0,1.5,"Concealers",7476.34,7.54
319,0,1.5,"Revealers",7596.82,7.6
320,0,1.5,"Concealers",6671.12,7.2
320,0,1.5,"Revealers",7323.62,7.62
321,0,1.5,"Concealers",8266.3,8
321,0,1.5,"Revealers",7204.28,7.44
