"Run","Sens","Strategy","PI","RS"
166,0.1,"Concealers",6700.8,6.98
166,0.1,"Revealers",4091.66,5.72
167,0.1,"Concealers",7067.78,7.16
167,0.1,"Revealers",6050.22,6.68
168,0.1,"Concealers",7243.5,7.26
168,0.1,"Revealers",6298.44,6.8
169,0.1,"Concealers",7335.42,7.52
169,0.1,"Revealers",7356.52,7.38
170,0.1,"Concealers",6499.8,6.72
170,0.1,"Revealers",4261.78,5.76
171,0.1,"Concealers",7088.82,7.18
171,0.1,"Revealers",5692.36,6.5
172,0.1,"Concealers",6459.76,6.9
172,0.1,"Revealers",5703.68,6.46
173,0.1,"Concealers",6639.84,6.82
173,0.1,"Revealers",4009.18,5.76
174,0.1,"Concealers",7166.58,7.34
174,0.1,"Revealers",6416.32,7.02
175,0.1,"Concealers",7370.66,7.24
175,0.1,"Revealers",4259.18,5.84
176,0.1,"Concealers",6295.28,6.7
176,0.1,"Revealers",4878.92,6.02
177,0.1,"Concealers",7506.76,7.4
177,0.1,"Revealers",6082.68,6.8
178,0.1,"Concealers",7297.56,7.32
178,0.1,"Revealers",5599.1,6.5
179,0.1,"Concealers",7540.96,7.44
179,0.1,"Revealers",6427.74,6.96
180,0.1,"Concealers",8262.38,7.86
180,0.1,"Revealers",6218.92,6.8
181,0.1,"Concealers",7694.98,7.56
181,0.1,"Revealers",5728.4,6.58
182,0.1,"Concealers",7497.76,7.4
182,0.1,"Revealers",5548.08,6.4
183,0.1,"Concealers",7761.94,7.5
183,0.1,"Revealers",7421.5,7.42
184,0.1,"Concealers",5810.3,6.28
184,0.1,"Revealers",3872.02,5.54
185,0.1,"Concealers",7326.6,7.32
185,0.1,"Revealers",6769.9,7.08
186,0.1,"Concealers",8004.16,7.8
186,0.1,"Revealers",7663.52,7.52
187,0.1,"Concealers",7416.02,7.18
187,0.1,"Revealers",5102.9,6.22
188,0.1,"Concealers",7062.34,7.24
188,0.1,"Revealers",5728.88,6.52
189,0.1,"Concealers",7020.72,7.18
189,0.1,"Revealers",6481.38,7
190,0.1,"Concealers",6600.64,7
190,0.1,"Revealers",4853.82,6.2
191,0.1,"Concealers",6573.9,7.02
191,0.1,"Revealers",6490.62,6.82
192,0.1,"Concealers",6801.64,7.12
192,0.1,"Revealers",6334.18,6.84
193,0.1,"Concealers",7298.9,7.24
193,0.1,"Revealers",5512.52,6.54
194,0.1,"Concealers",6837.18,7
194,0.1,"Revealers",4466.94,5.88
195,0.1,"Concealers",7177.66,7.16
195,0.1,"Revealers",5542.62,6.46
196,0.1,"Concealers",8239.58,7.8
196,0.1,"Revealers",6835.4,7.06
197,0.1,"Concealers",6187.64,6.6
197,0.1,"Revealers",4372.78,5.8
198,0.1,"Concealers",5869.6,6.48
198,0.1,"Revealers",3943.08,5.68
199,0.1,"Concealers",7471.98,7.26
199,0.1,"Revealers",5836.42,6.66
200,0.1,"Concealers",7428.36,7.32
200,0.1,"Revealers",4568.58,5.86
201,0.2,"Concealers",8086.26,7.62
201,0.2,"Revealers",5057.44,6.2
202,0.2,"Concealers",6821.98,7.02
202,0.2,"Revealers",5189.28,6.34
203,0.2,"Concealers",7961.74,7.68
203,0.2,"Revealers",7012.98,7.14
204,0.2,"Concealers",6140.7,6.62
204,0.2,"Revealers",4216.4,5.86
205,0.2,"Concealers",6883.38,7.16
205,0.2,"Revealers",8160.78,7.68
206,0.2,"Concealers",6169.04,6.54
206,0.2,"Revealers",4341.38,5.96
207,0.2,"Concealers",7863.12,7.78
207,0.2,"Revealers",6163.74,6.78
208,0.2,"Concealers",7919.38,7.54
208,0.2,"Revealers",7217.42,7.36
209,0.2,"Concealers",8095.78,7.72
209,0.2,"Revealers",6450.48,6.86
210,0.2,"Concealers",7474.48,7.36
210,0.2,"Revealers",6236.36,6.78
211,0.2,"Concealers",7697.82,7.54
211,0.2,"Revealers",7399.22,7.4
212,0.2,"Concealers",6968.58,7.16
212,0.2,"Revealers",6648.28,7.06
213,0.2,"Concealers",7597.34,7.46
213,0.2,"Revealers",6212.38,6.76
214,0.2,"Concealers",7613.6,7.54
214,0.2,"Revealers",6249.76,6.86
215,0.2,"Concealers",6572.1,6.96
215,0.2,"Revealers",4383.48,5.88
216,0.2,"Concealers",6628.68,6.8
216,0.2,"Revealers",4009.58,5.8
217,0.2,"Concealers",7678.32,7.54
217,0.2,"Revealers",6922.98,7.04
218,0.2,"Concealers",6378.14,6.7
218,0.2,"Revealers",5182.84,6.22
219,0.2,"Concealers",5807.06,6.32
219,0.2,"Revealers",3773.44,5.56
220,0.2,"Concealers",6852.1,7.18
220,0.2,"Revealers",7286.88,7.36
221,0.2,"Concealers",8105.92,7.68
221,0.2,"Revealers",6645.54,6.98
222,0.2,"Concealers",6821.42,6.92
222,0.2,"Revealers",4638.98,6
223,0.2,"Concealers",7887.4,7.56
223,0.2,"Revealers",6806.44,7.1
224,0.2,"Concealers",7779.24,7.62
224,0.2,"Revealers",6351.62,6.76
225,0.2,"Concealers",8042.06,7.8
225,0.2,"Revealers",6392.18,6.96
226,0.2,"Concealers",6002.68,6.52
226,0.2,"Revealers",5005.38,6.18
227,0.2,"Concealers",6911.38,7.2
227,0.2,"Revealers",7500.18,7.5
228,0.2,"Concealers",8019.62,7.56
228,0.2,"Revealers",5205.36,6.28
229,0.2,"Concealers",7939.16,7.46
229,0.2,"Revealers",5027.72,6.22
230,0.2,"Concealers",7389.42,7.2
230,0.2,"Revealers",5887.8,6.66
231,0.2,"Concealers",7582.98,7.38
231,0.2,"Revealers",5374.74,6.4
232,0.2,"Concealers",7576.12,7.44
232,0.2,"Revealers",6113.66,6.64
233,0.2,"Concealers",5522.8,6.1
233,0.2,"Revealers",3410.12,5.34
234,0.2,"Concealers",7661.14,7.48
234,0.2,"Revealers",6508.96,7.02
235,0.2,"Concealers",6854.18,7.12
235,0.2,"Revealers",6994.12,7.04
236,0.2,"Concealers",8044,7.64
236,0.2,"Revealers",6257.04,6.94
237,0.2,"Concealers",7852.02,7.64
237,0.2,"Revealers",7052.42,7.32
238,0.2,"Concealers",7367.5,7.26
238,0.2,"Revealers",5281.28,6.32
239,0.2,"Concealers",6705.62,6.9
239,0.2,"Revealers",5320.72,6.4
240,0.2,"Concealers",8126.24,7.66
240,0.2,"Revealers",7668.08,7.52
241,0.2,"Concealers",7691.56,7.48
241,0.2,"Revealers",7222.42,7.3
242,0.2,"Concealers",6999.98,7.18
242,0.2,"Revealers",6172.32,6.74
