"Run","Sens","Strategy","PI","RS"
1021,0.8,"Concealers",6439.5875,6.95
1021,0.8,"Revealers",3829.25,5.4
1022,0.8,"Concealers",5262.3,6.0125
1022,0.8,"Revealers",3463.2,5.3
1023,0.8,"Concealers",6632.725,7.075
1023,0.8,"Revealers",4929.7,6.3
1024,0.8,"Concealers",7417.85,7.4
1024,0.8,"Revealers",5993.25,6.6
1025,0.8,"Concealers",7521.3125,7.375
1025,0.8,"Revealers",5158.4,6.25
1026,0.8,"Concealers",6261.4375,6.775
1026,0.8,"Revealers",4754.85,6.15
1027,0.8,"Concealers",6829.3125,7.1125
1027,0.8,"Revealers",4034.35,5.65
1028,0.8,"Concealers",6559.5625,6.9
1028,0.8,"Revealers",4221.1,5.95
1029,0.8,"Concealers",5981.55,6.65
1029,0.8,"Revealers",4166.75,5.75
1030,0.8,"Concealers",7124.8375,7.3125
1030,0.8,"Revealers",7123.2,7.15
1031,0.8,"Concealers",5566.425,6.425
1031,0.8,"Revealers",3688.75,5.4
1032,0.8,"Concealers",7316.8375,7.3625
1032,0.8,"Revealers",7411.85,7.3
1033,0.8,"Concealers",5992.4375,6.65
1033,0.8,"Revealers",6178.45,6.75
1034,0.8,"Concealers",6699.6,7
1034,0.8,"Revealers",5728.75,6.45
1035,0.8,"Concealers",5998.075,6.5875
1035,0.8,"Revealers",4860.8,6.1
1036,0.8,"Concealers",7060.7875,7.2375
1036,0.8,"Revealers",6167.45,6.65
1037,0.8,"Concealers",5447.1875,6.2875
1037,0.8,"Revealers",3334.6,5.25
1038,0.8,"Concealers",6288.2625,6.7375
1038,0.8,"Revealers",4563.6,6
1039,0.8,"Concealers",5662.9625,6.475
1039,0.8,"Revealers",4922.85,6.1
1040,0.8,"Concealers",5758.3625,6.5875
1040,0.8,"Revealers",5006.05,6.15
1041,0.8,"Concealers",6402.6375,6.8
1041,0.8,"Revealers",6135.15,6.75
1042,0.8,"Concealers",7137.4625,7.2875
1042,0.8,"Revealers",6207.45,6.8
1043,0.8,"Concealers",6305.8625,6.75
1043,0.8,"Revealers",5057.05,6.1
1044,0.8,"Concealers",4900.725,5.925
1044,0.8,"Revealers",4194.65,6
1045,0.8,"Concealers",4802.6625,5.8375
1045,0.8,"Revealers",4756.05,5.75
1046,0.8,"Concealers",6516.45,6.8375
1046,0.8,"Revealers",4387.05,5.95
1047,0.8,"Concealers",7593,7.5
1047,0.8,"Revealers",5934.15,6.8
1048,0.8,"Concealers",6505.775,6.95
1048,0.8,"Revealers",6208.8,6.75
1049,0.8,"Concealers",5603.2875,6.3375
1049,0.8,"Revealers",4081.8,5.7
1050,0.8,"Concealers",5706.225,6.35
1050,0.8,"Revealers",4043.6,5.65
1051,0.8,"Concealers",7398.7625,7.225
1051,0.8,"Revealers",5466.75,6.2
1052,0.8,"Concealers",6026.225,6.65
1052,0.8,"Revealers",5584.2,6.5
1053,0.8,"Concealers",5889.6375,6.5125
1053,0.8,"Revealers",4220.85,5.65
1054,0.8,"Concealers",7047.6125,7.0625
1054,0.8,"Revealers",5516.75,6.4
1055,0.8,"Concealers",6686.0375,7.1
1055,0.8,"Revealers",5542.8,6.5
1056,0.8,"Concealers",6666.3875,7.075
1056,0.8,"Revealers",7096.8,7
1057,0.8,"Concealers",7132.425,7.2125
1057,0.8,"Revealers",5517.45,6.35
1058,0.8,"Concealers",6798.25,7.15
1058,0.8,"Revealers",7137.35,7.25
1059,0.8,"Concealers",5409.475,6.3375
1059,0.8,"Revealers",4511.8,5.9
1060,0.8,"Concealers",5827.0875,6.45
1060,0.8,"Revealers",4360.5,5.7
1061,0.8,"Concealers",5983.375,6.7125
1061,0.8,"Revealers",5915.65,6.45
1062,0.8,"Concealers",7098.125,7.2125
1062,0.8,"Revealers",4693.55,5.9
1063,0.8,"Concealers",6822.4125,7.0375
1063,0.8,"Revealers",5168.95,6.35
1064,0.8,"Concealers",6939.4,7.1375
1064,0.8,"Revealers",4397.65,5.95
1065,0.8,"Concealers",5406.1625,6.3125
1065,0.8,"Revealers",5050.7,6.2
1066,0.8,"Concealers",4816.825,5.825
1066,0.8,"Revealers",4414.4,5.9
1067,0.8,"Concealers",6185.8125,6.75
1067,0.8,"Revealers",5736.1,6.3
1068,0.8,"Concealers",6525.375,6.8625
1068,0.8,"Revealers",5751.85,6.6
1069,0.8,"Concealers",6837.1875,7.05
1069,0.8,"Revealers",6854.2,7.05
1070,0.8,"Concealers",5598.7125,6.3
1070,0.8,"Revealers",4061.45,5.6
1071,0.8,"Concealers",6241.7625,6.825
1071,0.8,"Revealers",4427.6,5.9
1072,0.8,"Concealers",7313.2625,7.25
1072,0.8,"Revealers",5294.05,6.35
1073,0.8,"Concealers",6858.5875,7.15
1073,0.8,"Revealers",6250.4,6.7
1074,0.8,"Concealers",7203.6625,7.1875
1074,0.8,"Revealers",5085.55,6.25
1075,0.8,"Concealers",6722.325,7.0625
1075,0.8,"Revealers",5431.5,6.4
1076,0.8,"Concealers",5905.1625,6.4625
1076,0.8,"Revealers",5026.7,6.05
1077,0.8,"Concealers",5322.6625,6.3125
1077,0.8,"Revealers",4559.9,5.95
1078,0.8,"Concealers",6718.775,7.1125
1078,0.8,"Revealers",4784.35,6.1
1079,0.8,"Concealers",7211.9625,7.3375
1079,0.8,"Revealers",5414.45,6.4
1080,0.8,"Concealers",7791.775,7.5125
1080,0.8,"Revealers",6229.45,6.7
1081,0.8,"Concealers",7189.9375,7.375
1081,0.8,"Revealers",5544.95,6.4
1082,0.8,"Concealers",7209.475,7.2875
1082,0.8,"Revealers",5362,6.3
1083,0.8,"Concealers",7463.25,7.525
1083,0.8,"Revealers",6505.65,7
1084,0.8,"Concealers",5923.825,6.575
1084,0.8,"Revealers",4664.05,5.95
1085,0.8,"Concealers",6245.65,6.7
1085,0.8,"Revealers",4275.5,5.9
1086,0.8,"Concealers",6001.9125,6.5375
1086,0.8,"Revealers",4077.6,5.85
1087,0.8,"Concealers",6010.7625,6.55
1087,0.8,"Revealers",4207.55,5.85
1088,0.8,"Concealers",5161.75,5.8875
1088,0.8,"Revealers",3407.05,5.3
1089,0.8,"Concealers",5521.05,6.3
1089,0.8,"Revealers",4731.4,6
1090,0.8,"Concealers",6307.05,6.8
1090,0.8,"Revealers",6143.3,6.45
1091,0.8,"Concealers",6032.575,6.6
1091,0.8,"Revealers",5794.95,6.45
1092,0.8,"Concealers",6733.625,7.025
1092,0.8,"Revealers",7041.95,7
1093,0.8,"Concealers",6620.575,6.95
1093,0.8,"Revealers",6331.3,6.8
1094,0.8,"Concealers",6144.1125,6.6125
1094,0.8,"Revealers",3767.65,5.5
1095,0.8,"Concealers",5444.7,6.3375
1095,0.8,"Revealers",5025.95,6.1
1096,0.8,"Concealers",6140.0875,6.625
1096,0.8,"Revealers",5350.95,6.25
1097,0.8,"Concealers",6544.6125,6.8875
1097,0.8,"Revealers",4963.3,6.1
1098,0.8,"Concealers",6579.5375,6.9625
1098,0.8,"Revealers",5352.15,6.15
1099,0.8,"Concealers",6577.5625,6.975
1099,0.8,"Revealers",5906.15,6.55
1100,0.8,"Concealers",5672.8125,6.475
1100,0.8,"Revealers",5415.2,6.2
1501,0.6,"Concealers",7585.31666666667,7.43333333333333
1501,0.6,"Revealers",5284.475,6.375
1502,0.6,"Concealers",7961.15,7.56666666666667
1502,0.6,"Revealers",5165.075,6.325
1503,0.6,"Concealers",7722.98333333333,7.51666666666667
1503,0.6,"Revealers",5695.025,6.675
1504,0.6,"Concealers",7210.66666666667,7.4
1504,0.6,"Revealers",6721.775,7.05
1505,0.6,"Concealers",6841.11666666667,6.83333333333333
1505,0.6,"Revealers",4968.05,6.175
1506,0.6,"Concealers",7835.31666666667,7.5
1506,0.6,"Revealers",6212.85,6.8
1507,0.6,"Concealers",6503.7,6.95
1507,0.6,"Revealers",4838.275,6.2
1508,0.6,"Concealers",6554.68333333333,6.78333333333333
1508,0.6,"Revealers",4950.675,6.05
1509,0.6,"Concealers",7838.25,7.5
1509,0.6,"Revealers",5343.05,6.375
1510,0.6,"Concealers",7765.31666666667,7.53333333333333
1510,0.6,"Revealers",5229.325,6.275
1511,0.6,"Concealers",7340.1,7.25
1511,0.6,"Revealers",4840.425,6.05
1512,0.6,"Concealers",6174.98333333333,6.66666666666667
1512,0.6,"Revealers",4653.6,5.9
1513,0.6,"Concealers",7520.26666666667,7.38333333333333
1513,0.6,"Revealers",5985.45,6.8
1514,0.6,"Concealers",6127.91666666667,6.65
1514,0.6,"Revealers",4743.05,6.15
1515,0.6,"Concealers",6620.01666666667,6.81666666666667
1515,0.6,"Revealers",4520.025,5.975
1516,0.6,"Concealers",4953.6,5.85
1516,0.6,"Revealers",3468.725,5.325
1517,0.6,"Concealers",5900.11666666667,6.46666666666667
1517,0.6,"Revealers",3401.675,5.25
1518,0.6,"Concealers",7380.73333333333,7.33333333333333
1518,0.6,"Revealers",5405.65,6.425
1519,0.6,"Concealers",7796.46666666667,7.65
1519,0.6,"Revealers",6413.55,6.975
1520,0.6,"Concealers",7265.3,7.35
1520,0.6,"Revealers",7503.9,7.575
1521,0.6,"Concealers",7029.18333333333,7.18333333333333
1521,0.6,"Revealers",6410.375,6.9
1522,0.6,"Concealers",5481.93333333333,6.4
1522,0.6,"Revealers",4384.525,5.85
1523,0.6,"Concealers",6211.25,6.7
1523,0.6,"Revealers",4200.775,5.75
1524,0.6,"Concealers",6716.05,6.8
1524,0.6,"Revealers",4174.8,5.7
1525,0.6,"Concealers",7935.5,7.65
1525,0.6,"Revealers",6250.1,6.725
1526,0.6,"Concealers",6176.56666666667,6.53333333333333
1526,0.6,"Revealers",4683.325,6.075
1527,0.6,"Concealers",7672.2,7.63333333333333
1527,0.6,"Revealers",5884.6,6.575
1528,0.6,"Concealers",5914.25,6.55
1528,0.6,"Revealers",4028.325,5.625
1529,0.6,"Concealers",7232.83333333333,7.2
1529,0.6,"Revealers",5615.725,6.55
1530,0.6,"Concealers",6915.26666666667,7.01666666666667
1530,0.6,"Revealers",4645,6.025
1531,0.6,"Concealers",6190.96666666667,6.65
1531,0.6,"Revealers",4630.275,5.875
1532,0.6,"Concealers",7425.01666666667,7.18333333333333
1532,0.6,"Revealers",4469.45,5.9
1533,0.6,"Concealers",7792.35,7.55
1533,0.6,"Revealers",7578.775,7.25
1534,0.6,"Concealers",7540.61666666667,7.4
1534,0.6,"Revealers",6377.8,6.775
1535,0.6,"Concealers",6210.51666666667,6.68333333333333
1535,0.6,"Revealers",5404.7,6.35
1536,0.6,"Concealers",5553.73333333333,6.28333333333333
1536,0.6,"Revealers",4039.85,5.675
