"BehaviorSpace results (NetLogo 6.1.0)"
"OvModel_updatedForNetlogo6.nlogo"
"Experiment 3 (Aggression Towards Ovulating)"
"04/30/2020 19:31:52:576 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","1","1","1","2","2","2","2"
"prop_m_promiscuity","20",,,,"20",,,
"f_detectOv?","true",,,,"true",,,
"sd_female_MV","10",,,,"10",,,
"num_males","100",,,,"100",,,
"competitor_radius","2",,,,"2",,,
"search_radius","2",,,,"2",,,
"ad_decay","0.01",,,,"0.01",,,
"initial_f_mod","1.25",,,,"1.25",,,
"costO_aggress","10",,,,"10",,,
"AcSig_num","50",,,,"50",,,
"FertConceal_num","50",,,,"50",,,
"decrement","true",,,,"false",,,
"prop_f_aggress","100",,,,"100",,,
"show-males_on_patch?","false",,,,"false",,,
,"31.96","61.06","0","0.02","17.82","59.1","0","0.02"
,"32.42","61.94","0","0.02","18.1","59.32","0","0.02"
,"32.8","62.86","0","0.02","18.48","59.5","0","0.02"
,"33.24","63.74","0","0.02","18.86","59.8","0","0.02"
,"33.62","64.66","0","0.02","19.14","60","0","0.02"
,"34.04","65.62","0","0.02","19.46","60.24","0","0.02"
,"34.54","66.52","0","0.02","19.82","61.3","0","0.02"
,"35.04","67.38","0","0.02","20.22","61.58","0","0.02"
,"35.46","68.32","0","0.02","20.56","61.82","0","0.02"
,"35.94","69.16","0","0.02","20.88","62.08","0","0.02"
,"36.42","70.04","0","0.02","21.18","62.34","0","0.02"
,"36.9","70.92","0","0.02","21.56","62.62","0","0.02"
,"37.32","71.82","0","0.02","21.92","63.76","0","0.02"
,"37.8","72.68","0","0.02","22.18","64.92","0","0.02"
,"38.28","73.58","0","0.02","22.54","66.04","0","0.02"
,"38.74","74.54","0","0.02","22.86","67.12","0","0.02"
,"39.26","75.42","0","0.02","23.18","68.28","0","0.02"
,"39.72","76.36","0","0.02","23.44","69.4","0","0.02"
,"40.2","77.26","0","0.02","23.78","70.58","0","0.02"
,"40.64","78.16","0","0.02","24.16","71.64","0","0.02"
,"41.16","79.06","0","0.02","24.48","72.74","0","0.02"
,"41.58","79.96","0","0.02","24.74","73.92","0","0.02"
,"42.02","80.86","0","0.02","25.04","75.1","0","0.02"
,"42.48","81.78","0","0.02","25.4","76.22","0","0.02"
,"43.08","82.68","0","0.02","25.7","77.38","0","0.02"
,"43.52","83.6","0","0.02","25.98","78.56","0","0.02"
,"44.02","84.52","0","0.02","26.38","79.7","0","0.02"
,"44.56","85.44","0","0.02","26.62","80.92","0","0.02"
,"45.02","86.38","0","0.02","26.98","82.08","0","0.02"
,"45.5","87.36","0","0.02","27.22","83.26","0","0.02"
,"45.96","88.36","0","0.02","27.6","84.4","0","0.02"
,"46.46","89.34","0","0.02","27.94","85.5","0","0.02"
,"46.98","90.26","0","0.02","28.22","86.66","0","0.02"
,"47.42","91.22","0","0.02","28.46","87.82","0","0.02"
,"47.94","92.2","0","0.02","28.76","88.98","0","0.02"
,"48.38","93.24","0","0.02","29.1","90.18","0","0.02"
,"48.82","94.2","0","0.02","29.44","91.26","0","0.02"
,"49.28","95.14","0","0.02","29.66","92.46","0","0.02"
,"49.8","96.04","0","0.02","29.92","93.68","0","0.02"
,"50.22","97.04","0","0.02","30.26","94.86","0","0.02"
,"50.64","98","0","0.02","30.6","96.02","0","0.02"
,"51.16","98.96","0","0.02","30.88","97.2","0","0.02"
,"51.68","99.9","0","0.02","31.18","98.46","0","0.02"
,"52.14","100.88","0","0.02","31.46","99.62","0","0.02"
,"52.68","101.8","0","0.02","31.76","100.84","0","0.02"
,"53.16","102.78","0","0.02","32.1","102.04","0","0.02"
,"53.6","103.74","0","0.02","32.46","103.14","0","0.02"
,"54.06","104.72","0","0.02","32.8","104.38","0","0.02"
,"54.56","105.6","0","0.02","33.16","105.5","0","0.02"
,"54.98","106.58","0","0.02","33.54","106.64","0","0.02"
,"55.46","107.52","0","0.02","33.92","107.76","0","0.02"
