ID,Sex,mate_value,male_promiscuity,num_matings,num_unique_mates,mate_switching
83,female,42.61258369,NA,7239,45,522
84,female,49.12475702,NA,8398,45,129
85,female,67.67903721,NA,7831,58,1519
86,female,58.01738793,NA,8011,42,1040
87,female,57.58664602,NA,6999,55,362
88,female,69.50977015,NA,7929,55,1207
89,female,40.38698247,NA,8587,50,304
90,female,48.960255,NA,6783,52,205
91,female,40.14023037,NA,7249,62,191
92,female,54.81774483,NA,8454,49,253
93,female,31.20241376,NA,7429,60,236
94,female,52.34172119,NA,7634,51,124
95,female,49.62087878,NA,8342,58,882
96,female,54.53424457,NA,8288,51,215
97,female,52.22418945,NA,6980,51,321
98,female,53.4387521,NA,7419,54,191
99,female,34.01527372,NA,7679,46,161
100,male,52.36376996,0,5265,64,3667
101,male,51.4034031,0,15824,73,11153
102,male,47.64945547,0,2232,34,1153
103,male,49.88276681,0,8382,68,4212
104,male,51.56921883,0,2900,45,2279
105,male,49.46527884,0,5856,49,4298
106,male,45.04823533,0,1248,13,709
107,male,50.10280572,0,6558,56,4748
108,male,54.4223941,0,21857,78,18902
109,male,44.49892021,0,773,17,468
110,male,51.33551193,100,533,72,334
111,male,50.61797266,0,5879,52,3572
112,male,49.29120771,0,124,15,37
113,male,56.60271632,0,23592,86,19370
114,male,55.24777486,100,3246,99,2494
115,male,49.75028099,100,335,72,228
116,male,45.90568926,0,1085,42,354
117,male,49.32797539,0,556,17,42
118,male,47.35895876,0,2112,37,1270
119,male,55.36736253,0,21141,83,16890
120,male,56.93108415,0,32698,79,29301
121,male,55.71658937,100,5824,97,5153
122,male,49.3322568,0,400,11,315
123,male,39.58433531,0,0,0,0
124,male,46.44835974,0,2504,52,842
125,male,54.42704358,0,15371,80,10820
126,male,49.09650172,0,68,13,39
127,male,45.62999533,0,1783,23,1362
128,male,45.8327273,0,2,2,1
129,male,53.83869359,0,15738,73,11993
130,male,55.70487335,0,20188,79,15402
131,male,58.72725221,100,10780,100,9796
132,male,39.95760597,100,294,58,225
133,male,53.67213046,0,13028,75,9848
134,male,40.06029021,0,3,1,0
135,male,57.74119841,0,27105,84,22356
136,male,54.62976592,0,18894,78,14950
137,male,49.89511809,0,3737,58,1838
138,male,54.61830177,0,18033,89,13424
139,male,47.80601196,0,945,31,308
140,male,55.04982691,0,27350,79,23198
141,male,59.15963601,0,25658,83,20984
142,male,44.58048251,0,41,6,6
143,male,49.16448216,100,934,73,766
144,male,38.49586017,0,0,0,0
145,male,43.45362446,0,2050,15,1128
146,male,46.21066632,0,239,12,25
147,male,51.5039503,100,870,78,443
148,male,42.45278726,100,258,63,171
149,male,42.8121548,0,397,6,145
150,male,42.43609994,0,390,13,277
151,male,47.8490684,0,2134,35,1272
152,male,53.75620652,0,15288,71,12600
153,male,51.86660672,0,4277,55,2860
154,male,53.84504184,0,18376,80,13948
155,male,53.41834789,0,16915,69,14824
156,male,48.18487307,0,896,25,74
157,male,49.26282926,0,306,5,8
158,male,46.31006261,0,2774,39,1082
159,male,51.37856393,0,6709,59,4638
160,male,46.81057104,0,3135,57,878
161,male,50.61972915,0,2291,36,1096
162,male,53.98232809,0,27488,82,24392
163,male,53.23036317,0,13577,67,11613
164,male,53.04171167,0,10604,68,7555
165,male,56.92709497,0,22335,83,17201
166,male,46.02807441,0,2229,37,1325
167,male,54.37994804,0,10669,75,7330
168,male,58.42093332,0,21735,82,16421
169,male,42.04149177,0,33,10,15
170,male,55.28763332,0,23426,89,18741
171,male,44.28104589,0,459,23,162
172,male,46.46794466,0,451,12,331
173,male,51.19055153,0,10951,64,8624
174,male,54.71634496,0,21331,83,16192
175,male,48.01695317,100,372,73,203
176,male,45.58402948,0,2964,39,1678
177,male,50.00478182,0,1538,25,433
178,male,51.77688413,0,10423,78,6968
179,male,43.67373218,0,110,6,6
180,male,45.18400052,0,55,6,10
181,male,47.14114327,0,4667,55,3142
182,male,49.81606845,0,2499,33,1643
183,male,52.17183034,0,8008,60,5596
184,male,54.19819096,0,20001,79,15707
185,male,46.13246547,0,2194,26,1473
186,male,54.11275019,100,1897,92,1209
187,male,51.91183027,100,1180,88,892
188,male,48.75021752,0,922,23,585
189,male,49.93967001,100,1215,64,881
190,male,45.22022832,0,1276,27,470
191,male,56.35437558,0,31804,90,28462
192,male,44.44358418,100,573,68,462
193,male,47.46692772,0,7138,63,5119
194,male,55.10409322,0,16566,86,12489
195,male,45.94762756,0,2971,40,2249
196,male,57.14934344,0,31077,93,27186
197,male,42.8975147,0,2067,25,1695
198,male,47.12708711,0,2420,40,1424
199,male,45.13791486,0,1494,32,979
